(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0,(51, 3, 5, 3, 21, 8, 5, 3, 8, 554),1.0,(36, 5, 4, 2, 84, 6, 8, 2, 6, 138),1.0,(51, 1, 4, 6, 77, 7, 2, 8, 6, 187),1.0,(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0,(51, 3, 5, 3, 21, 8, 5, 3, 8, 554),1.0,(36, 5, 4, 2, 84, 6, 8, 2, 6, 138),1.0,(51, 1, 4, 6, 77, 7, 2, 8, 6, 187),1.0
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0,(51, 3, 5, 3, 21, 8, 5, 3, 8, 554),1.0,(36, 5, 4, 2, 84, 6, 8, 2, 6, 138),1.0
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0,(51, 3, 5, 3, 21, 8, 5, 3, 8, 554),1.0,(36, 5, 4, 2, 84, 6, 8, 2, 6, 138),1.0
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0,(51, 3, 5, 3, 21, 8, 5, 3, 8, 554),1.0,(36, 5, 4, 2, 84, 6, 8, 2, 6, 138),1.0
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0,(51, 3, 5, 3, 21, 8, 5, 3, 8, 554),1.0
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(73, 7, 3, 4, 74, 4, 2, 8, 5, 631),1.0
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(38, 3, 1, 3, 88, 7, 1, 5, 3, 681),1.1
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(38, 3, 1, 3, 88, 7, 1, 5, 3, 681),1.1
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(38, 3, 1, 3, 88, 7, 1, 5, 3, 681),1.1
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(38, 3, 1, 3, 88, 7, 1, 5, 3, 681),1.1
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(38, 3, 1, 3, 88, 7, 1, 5, 3, 681),1.1
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(38, 3, 1, 3, 88, 7, 1, 5, 3, 681),1.1
(81, 5, 3, 3, 73, 8, 8, 4, 1, 621),1.1,(61, 8, 1, 3, 83, 3, 5, 2, 7, 181),1.1,(71, 5, 3, 6, 28, 4, 3, 1, 6, 182),1.1,(15, 8, 1, 1, 34, 7, 8, 7, 8, 873),1.1,(38, 3, 1, 3, 88, 7, 1, 5, 3, 681),1.1
